"year" "month" "day" "downscaled.tmin.degC"
1951 11 3 4.12
1951 11 4 2.84
1951 11 5 0.17
1951 11 6 -0.82
1951 11 7 2.75
1951 11 8 2.36
1951 11 9 2.44
1951 11 10 3.53
1951 11 11 0.91
1951 11 12 0.68
1951 11 13 2.35
1951 11 14 5.45
1951 11 15 9.48
1951 11 16 7.28
1951 11 17 4.29
1951 11 18 5.07
1951 11 19 4.5
1951 11 20 5.25
1951 11 21 3.97
1951 11 22 6.53
1951 11 23 3.53
1951 11 24 -1.12
1951 11 25 3.12
1951 11 26 4.55
1951 11 27 5.26
1951 11 28 4.63
1951 11 29 4.79
1951 11 30 4.27
1951 12 1 4.2
1951 12 2 2.36
1951 12 3 -0.71
1951 12 4 -7.21
1951 12 5 -6.01
1951 12 6 -6.66
1951 12 7 -1.49
1951 12 8 2.44
1951 12 9 2.21
1951 12 10 2.28
1951 12 11 1.38
1951 12 12 -0.39
1951 12 13 5.98
1951 12 14 0.58
1951 12 15 -6.95
1951 12 16 -8.04
1951 12 17 -4.84
1951 12 18 -3.35
1951 12 19 -2.67
1951 12 20 -1.57
1951 12 21 2.95
1951 12 22 3.56
1951 12 23 -1.11
1951 12 24 2.78
1951 12 25 4.63
1951 12 26 2.81
1951 12 27 -4.67
1951 12 28 0.53
1951 12 29 -5.1
1951 12 30 -0.94
1951 12 31 -1.85
1952 1 1 -2.89
1952 1 2 1.77
1952 1 3 -0.54
1952 1 4 -0.52
1952 1 5 -0.23
1952 1 6 -0.8
1952 1 7 -0.95
1952 1 8 0.32
1952 1 9 1.77
1952 1 10 -0.52
1952 1 11 3.08
1952 1 12 2.67
1952 1 13 0.84
1952 1 14 3.08
1952 1 15 2.63
1952 1 16 6.32
1952 1 17 5.89
1952 1 18 -0.04
1952 1 19 -1.31
1952 1 20 -0.54
1952 1 21 1.41
1952 1 22 0.17
1952 1 23 -0.59
1952 1 24 -2.22
1952 1 25 -1.35
1952 1 26 -2.56
1952 1 27 -1.09
1952 1 28 -6.05
1952 1 29 -1.9
1952 1 30 2.12
1952 1 31 1.78
1952 2 1 -0.03
1952 2 2 4.43
1952 2 3 -0.66
1952 2 4 -2.72
1952 2 5 -2.01
1952 2 6 -0.16
1952 2 7 -0.66
1952 2 8 0.35
1952 2 9 -7.19
1952 2 10 -8.88
1952 2 11 -5.74
1952 2 12 -3.41
1952 2 13 -2.6
1952 2 14 -1.71
1952 2 15 0.44
1952 2 16 3.91
1952 2 17 2.89
1952 2 18 0.67
1952 2 19 2.19
1952 2 20 1.77
1952 2 21 3.8
1952 2 22 5.7
1952 2 23 3
1952 2 24 2.82
1952 2 25 4.89
1952 2 26 4.55
1952 2 27 4.36
1952 2 28 5.79
1952 3 1 5.98
1952 3 2 6.96
1952 3 3 5.9
1952 3 4 6.59
1952 3 5 7.56
1952 3 6 7.13
1952 3 7 9.83
1952 3 8 11.53
1952 3 9 7.73
1952 3 10 3.34
1952 3 11 4.05
1952 3 12 5.6
1952 3 13 6.09
1952 3 14 8.03
1952 3 15 10.37
1952 3 16 14.26
1952 3 17 14.29
1952 3 18 10.35
1952 3 19 6.86
1952 3 20 7.63
1952 3 21 13.21
1952 3 22 6.32
1952 3 23 8.05
1952 3 24 2.58
1952 3 25 3.77
1952 3 26 3.19
1952 3 27 0.84
1952 3 28 12.5
1952 3 29 9.75
1952 3 30 6.11
1952 3 31 5.88
1952 4 1 7.33
1952 4 2 0.77
1952 4 3 4.38
1952 4 4 6.95
1952 4 5 5.5
1952 4 6 4.47
1952 4 7 4.95
1952 4 8 4.33
1952 4 9 1.41
1952 4 10 6.24
1952 4 11 9.14
1952 4 12 9.73
1952 4 13 11.71
1952 4 14 14.36
1952 4 15 11.7
1952 4 16 11.59
1952 4 17 15.84
1952 4 18 14.76
1952 4 19 13.66
1952 4 20 10.22
1952 4 21 10.07
1952 4 22 9.48
1952 4 23 12.32
1952 4 24 9.64
1952 4 25 7.04
1952 4 26 8.69
1952 4 27 12.25
1952 4 28 13.92
1952 4 29 11.82
1952 4 30 10.82
1952 5 1 13.05
1952 5 2 9.98
1952 5 3 5.51
1952 5 4 4.01
1952 5 5 8.92
1952 5 6 8.77
1952 5 7 11.67
1952 5 8 13.28
1952 5 9 15.86
1952 5 10 16.47
1952 5 11 15.3
1952 5 12 12.62
1952 5 13 12.59
1952 5 14 10.76
1952 5 15 12.24
1952 5 16 14.98
1952 5 17 16.69
1952 5 18 16.11
1952 5 19 14.84
1952 5 20 15.9
1952 5 21 14.76
1952 5 22 15.31
1952 5 23 12.71
1952 5 24 16.44
1952 5 25 16.22
1952 5 26 15.14
1952 5 27 14.63
1952 5 28 14.01
1952 5 29 14.78
1952 5 30 16.4
1952 5 31 16.37
1952 6 1 15.07
1952 6 2 14.35
1952 6 3 10.15
1952 6 4 10.06
1952 6 5 12.07
1952 6 6 12.99
1952 6 7 13.64
1952 6 8 13.42
1952 6 9 13.96
1952 6 10 15.27
1952 6 11 16.91
1952 6 12 16.52
1952 6 13 16.06
1952 6 14 16.3
1952 6 15 17.5
1952 6 16 16.53
1952 6 17 15.74
1952 6 18 16.38
1952 6 19 17.22
1952 6 20 17.03
1952 6 21 17.62
1952 6 22 18.09
1952 6 23 17.89
1952 6 24 18.34
1952 6 25 19.64
1952 6 26 18.06
1952 6 27 17.84
1952 6 28 17.98
1952 6 29 18.35
1952 6 30 21.07
1952 7 1 19.21
1952 7 2 18.79
1952 7 3 17.9
1952 7 4 16.8
1952 7 5 15.22
1952 7 6 15.51
1952 7 7 15.84
1952 7 8 17.85
1952 7 9 18.83
1952 7 10 18.32
1952 7 11 17.98
1952 7 12 17.88
1952 7 13 18.17
1952 7 14 19.45
1952 7 15 19.57
1952 7 16 18.16
1952 7 17 18.48
1952 7 18 20.3
1952 7 19 22.06
1952 7 20 21.37
1952 7 21 21.68
1952 7 22 20.15
1952 7 23 20.88
1952 7 24 19.1
1952 7 25 19.69
1952 7 26 20.25
1952 7 27 20.21
1952 7 28 19.79
1952 7 29 19.24
1952 7 30 18.62
1952 7 31 18.37
1952 8 1 18.08
1952 8 2 19.49
1952 8 3 21.24
1952 8 4 25.68
1952 8 5 21.9
1952 8 6 22.09
1952 8 7 21.94
1952 8 8 18.81
1952 8 9 18.35
1952 8 10 18.26
1952 8 11 19.7
1952 8 12 19.25
1952 8 13 18.49
1952 8 14 18.15
1952 8 15 17.32
1952 8 16 17.92
1952 8 17 16.84
1952 8 18 14.81
1952 8 19 15.97
1952 8 20 18.58
1952 8 21 21.32
1952 8 22 20.13
1952 8 23 19.27
1952 8 24 15.91
1952 8 25 13.94
1952 8 26 14.64
1952 8 27 16.03
1952 8 28 17.57
1952 8 29 17.97
1952 8 30 17.14
1952 8 31 16.6
1952 9 1 16.13
1952 9 2 18.97
1952 9 3 18.78
1952 9 4 17.14
1952 9 5 17.75
1952 9 6 18.7
1952 9 7 16.7
1952 9 8 15.53
1952 9 9 15.16
1952 9 10 14.92
1952 9 11 14.86
1952 9 12 14.82
1952 9 13 14.62
1952 9 14 14.72
1952 9 15 14.63
1952 9 16 15.64
1952 9 17 16.06
1952 9 18 16.31
1952 9 19 17.54
1952 9 20 18.07
1952 9 21 17.56
1952 9 22 14.66
1952 9 23 4.07
1952 9 24 2.44
1952 9 25 4.5
1952 9 26 7.33
1952 9 27 9.55
1952 9 28 9.5
1952 9 29 10.9
1952 9 30 9.52
1952 10 1 9.12
1952 10 2 6.94
1952 10 3 8.87
1952 10 4 9.64
1952 10 5 9.34
1952 10 6 9.66
1952 10 7 9.62
1952 10 8 8.55
1952 10 9 7.98
1952 10 10 7.88
1952 10 11 6.98
1952 10 12 7.33
1952 10 13 7.95
1952 10 14 5.31
1952 10 15 3.29
1952 10 16 4.28
1952 10 17 2.41
1952 10 18 5.16
1952 10 19 3.06
1952 10 20 4.19
1952 10 21 5
1952 10 22 6.49
1952 10 23 9.9
1952 10 24 10.84
1952 10 25 10.84
1952 10 26 10.33
1952 10 27 7.85
1952 10 28 5.33
1952 10 29 1.55
1952 10 30 1.09
1952 10 31 6.62
1952 11 1 6.32
1952 11 2 1.36
1952 11 3 4.18
1952 11 4 1.49
1952 11 5 0.51
1952 11 6 1.33
1952 11 7 4.21
1952 11 8 0.73
1952 11 9 4.66
1952 11 10 5.02
1952 11 11 2.56
1952 11 12 8.15
1952 11 13 9.31
1952 11 14 5.51
1952 11 15 9.8
1952 11 16 9.62
1952 11 17 0.21
1952 11 18 -0.76
1952 11 19 -4.12
1952 11 20 0.77
1952 11 21 3.6
1952 11 22 1.88
1952 11 23 4.28
1952 11 24 -2.21
1952 11 25 -4.06
1952 11 26 -1.36
1952 11 27 2.65
1952 11 28 4.55
1952 11 29 3.94
1952 11 30 2.9
1952 12 1 4.91
1952 12 2 7.82
1952 12 3 0.13
1952 12 4 -1.57
1952 12 5 -2.86
1952 12 6 -2.13
1952 12 7 -1.05
1952 12 8 0.55
1952 12 9 3.34
1952 12 10 3.96
1952 12 11 2.57
1952 12 12 2.63
1952 12 13 3.05
1952 12 14 2.51
1952 12 15 3.26
1952 12 16 4.28
1952 12 17 5.26
1952 12 18 -2.18
1952 12 19 -1.46
1952 12 20 -2.27
1952 12 21 -1.27
1952 12 22 -1.4
1952 12 23 1.17
1952 12 24 3.03
1952 12 25 0.98
1952 12 26 -4.37
1952 12 27 -4.34
1952 12 28 -3.54
1952 12 29 -3.9
1952 12 30 -1.01
1952 12 31 -4.66
1953 1 1 -7.82
1953 1 2 -5.77
1953 1 3 -3.42
1953 1 4 -0.45
1953 1 5 0.68
1953 1 6 8.31
1953 1 7 -0.66
1953 1 8 1.25
1953 1 9 0.7
1953 1 10 1.96
1953 1 11 1.31
1953 1 12 6.14
1953 1 13 3.09
1953 1 14 2.97
1953 1 15 1.01
1953 1 16 -0.58
1953 1 17 0.13
1953 1 18 2.38
1953 1 19 1.02
1953 1 20 -4.21
1953 1 21 -6.8
1953 1 22 -6.02
1953 1 23 -4.86
1953 1 24 -3.21
1953 1 25 -1.01
1953 1 26 0.83
1953 1 27 -1.59
1953 1 28 -1.94
1953 1 29 -1.25
1953 1 30 0.13
1953 1 31 0.96
1953 2 1 2.35
1953 2 2 4.34
1953 2 3 5.52
1953 2 4 6.76
1953 2 5 4.71
1953 2 6 8.02
1953 2 7 6.12
1953 2 8 -1.84
1953 2 9 -5.42
1953 2 10 -2.15
1953 2 11 0.31
1953 2 12 6.45
1953 2 13 3.75
1953 2 14 -1.49
1953 2 15 -0.59
1953 2 16 -1.71
1953 2 17 -0.05
1953 2 18 -2.17
1953 2 19 1.4
1953 2 20 -3.61
1953 2 21 -5.11
1953 2 22 -0.3
1953 2 23 2.69
1953 2 24 -2.23
1953 2 25 -2.2
1953 2 26 -0.55
1953 2 27 1.97
1953 2 28 5.05
1953 3 1 6.76
1953 3 2 -3.92
1953 3 3 -1.59
1953 3 4 -4.93
1953 3 5 -5.92
1953 3 6 -3.82
1953 3 7 2.95
1953 3 8 -0.69
1953 3 9 2.14
1953 3 10 1.2
1953 3 11 -3.06
1953 3 12 -1.42
1953 3 13 3.55
1953 3 14 5.42
1953 3 15 6.44
1953 3 16 3.13
1953 3 17 -4.08
1953 3 18 -6.29
1953 3 19 -3.23
1953 3 20 -0.32
1953 3 21 1.62
1953 3 22 5.68
1953 3 23 5.97
1953 3 24 5.29
1953 3 25 6.55
1953 3 26 8.81
1953 3 27 9.22
1953 3 28 8.88
1953 3 29 8.86
1953 3 30 7.79
1953 3 31 7.94
1953 4 1 11.51
1953 4 2 7.05
1953 4 3 1.86
1953 4 4 0.72
1953 4 5 3.1
1953 4 6 5.23
1953 4 7 8.36
1953 4 8 12.37
1953 4 9 12.25
1953 4 10 14.74
1953 4 11 15.19
1953 4 12 9.27
1953 4 13 9.01
1953 4 14 11.12
1953 4 15 5.82
1953 4 16 4.26
1953 4 17 7.37
1953 4 18 8.04
1953 4 19 9.29
1953 4 20 13.94
1953 4 21 14.45
1953 4 22 12.78
1953 4 23 18.73
1953 4 24 13.4
1953 4 25 9.81
1953 4 26 9.51
1953 4 27 9.72
1953 4 28 10.81
1953 4 29 10.89
1953 4 30 12.09
1953 5 1 14.64
1953 5 2 15.36
1953 5 3 15.01
1953 5 4 14.72
1953 5 5 16.46
1953 5 6 10.6
1953 5 7 8.97
1953 5 8 8.48
1953 5 9 11.2
1953 5 10 12.9
1953 5 11 11.2
1953 5 12 10.88
1953 5 13 12.23
1953 5 14 13.48
1953 5 15 13.31
1953 5 16 12.86
1953 5 17 11.86
1953 5 18 14.29
1953 5 19 13.68
1953 5 20 13.3
1953 5 21 14.45
1953 5 22 16.39
1953 5 23 16.14
1953 5 24 16.25
1953 5 25 16.7
1953 5 26 11.86
1953 5 27 10.03
1953 5 28 12.39
1953 5 29 16.04
1953 5 30 12.3
1953 5 31 13.26
1953 6 1 12.74
1953 6 2 13.03
1953 6 3 15.86
1953 6 4 15.29
