Plot,pice,Easting,Northing,long,lat
D109,87.00000000000,580338,3396420,-104.16100000000,30.69790000000
D54,87.60000000000,581550,3394627,-104.14900000000,30.68160000000
D193,88.10000000000,585140,3391624,-104.11100000000,30.65430000000
D190,89.30000000000,586336,3392222,-104.09900000000,30.65960000000
D248,92.30000000000,587542,3396421,-104.08600000000,30.69740000000
D51,92.30000000000,580938,3392836,-104.15500000000,30.66550000000
D142,93.10000000000,582747,3389814,-104.13600000000,30.63810000000
D247,93.10000000000,587536,3399427,-104.08600000000,30.72450000000
D126,94.80000000000,579139,3391022,-104.17400000000,30.64930000000
D238,95.10000000000,585142,3398823,-104.11100000000,30.71920000000
D258,96.40000000000,588138,3400622,-104.07900000000,30.73520000000
D129,96.80000000000,579148,3390425,-104.17400000000,30.64390000000
D195,97.30000000000,577940,3389215,-104.18700000000,30.63300000000
D123,99.30000000000,578542,3391620,-104.18000000000,30.65470000000
D60,100.60000000000,585140,3395814,-104.11100000000,30.69210000000
D268,103.90000000000,589338,3401225,-104.06700000000,30.74060000000
D25,104.30000000000,583964,3391622,-104.12400000000,30.65430000000
D255,104.70000000000,586331,3400626,-104.09800000000,30.73540000000
D10,105.50000000000,582155,3391012,-104.14300000000,30.64900000000
D119,110.70000000000,580341,3393416,-104.16100000000,30.67080000000
D182,110.80000000000,585142,3392830,-104.11100000000,30.66520000000
D27,111.50000000000,582753,3391000,-104.13600000000,30.64880000000
D52,113.60000000000,579745,3392220,-104.16800000000,30.66000000000
D28,113.70000000000,582132,3391590,-104.14300000000,30.65420000000
D155,114.60000000000,579139,3391617,-104.17400000000,30.65460000000
D7,115.80000000000,580365,3391595,-104.16100000000,30.65430000000
D116,117.40000000000,580943,3394001,-104.15500000000,30.67600000000
D3,120.00000000000,584577,3392829,-104.11700000000,30.66520000000
D239,122.40000000000,585742,3398823,-104.10400000000,30.71920000000
D64,123.80000000000,581542,3389817,-104.14900000000,30.63820000000
D38,125.20000000000,583941,3395228,-104.12400000000,30.68690000000
D189,126.00000000000,585739,3392224,-104.10500000000,30.65960000000
D15,126.10000000000,583310,3391640,-104.13000000000,30.65450000000
D9,126.40000000000,580345,3392258,-104.16100000000,30.66030000000
D156,128.00000000000,584539,3391611,-104.11800000000,30.65420000000
D242,130.50000000000,584537,3399423,-104.11700000000,30.72470000000
D181,132.80000000000,588140,3393421,-104.08000000000,30.67030000000
D237,140.50000000000,584540,3398824,-104.11700000000,30.71930000000
D253,141.40000000000,586945,3400023,-104.09200000000,30.72990000000
D121,144.90000000000,578537,3392228,-104.18000000000,30.66020000000
D150,150.80000000000,580341,3394622,-104.16100000000,30.68170000000
D222,154.20000000000,586335,3397019,-104.09800000000,30.70290000000
D22,154.50000000000,583323,3392247,-104.13000000000,30.66000000000
D117,158.70000000000,581543,3394015,-104.14900000000,30.67610000000
D138,161.80000000000,577955,3389815,-104.18600000000,30.63840000000
D57,168.10000000000,580949,3394614,-104.15500000000,30.68150000000
D131,200.00000000000,580341,3390422,-104.16200000000,30.64380000000
D139,200.00000000000,578544,3389820,-104.18000000000,30.63840000000
D191,200.00000000000,586947,3392220,-104.09200000000,30.65950000000
D26,200.00000000000,583376,3391020,-104.13000000000,30.64890000000
D85,200.00000000000,579132,3392221,-104.17400000000,30.66010000000
