Measurement Time,Port 1 ECRN-50 Precipitation mm Precip,NA,NA,NA,NA
05 Jul 2012 07:00 PM,0,,,,
05 Jul 2012 08:00 PM,0,,,,
05 Jul 2012 09:00 PM,0,,,,
05 Jul 2012 10:00 PM,0,,,,
05 Jul 2012 11:00 PM,0,,,,
06 Jul 2012 12:00 AM,0,,,,
06 Jul 2012 01:00 AM,0,,,,
06 Jul 2012 02:00 AM,0,,,,
06 Jul 2012 03:00 AM,0,,,,
06 Jul 2012 04:00 AM,0,,,,
06 Jul 2012 05:00 AM,0,,,,
06 Jul 2012 06:00 AM,0,,,,
06 Jul 2012 07:00 AM,0,,,,
06 Jul 2012 08:00 AM,0,,,,
06 Jul 2012 09:00 AM,0,,,,
06 Jul 2012 10:00 AM,0,,,,
06 Jul 2012 11:00 AM,0,,,,
06 Jul 2012 12:00 PM,0,,,,
06 Jul 2012 01:00 PM,0,,,,
06 Jul 2012 02:00 PM,0,,,,
06 Jul 2012 03:00 PM,0,,,,
06 Jul 2012 04:00 PM,0,,,,
06 Jul 2012 05:00 PM,0,,,,
06 Jul 2012 06:00 PM,0,,,,
06 Jul 2012 07:00 PM,0,,,,
06 Jul 2012 08:00 PM,0,,,,
06 Jul 2012 09:00 PM,0,,,,
06 Jul 2012 10:00 PM,0,,,,
06 Jul 2012 11:00 PM,0,,,,
07 Jul 2012 12:00 AM,0,,,,
07 Jul 2012 01:00 AM,0,,,,
07 Jul 2012 02:00 AM,0,,,,
07 Jul 2012 03:00 AM,0,,,,
07 Jul 2012 04:00 AM,0,,,,
07 Jul 2012 05:00 AM,0,,,,
07 Jul 2012 06:00 AM,0,,,,
07 Jul 2012 07:00 AM,0,,,,
07 Jul 2012 08:00 AM,0,,,,
07 Jul 2012 09:00 AM,0,,,,
07 Jul 2012 10:00 AM,0,,,,
07 Jul 2012 11:00 AM,0,,,,
07 Jul 2012 12:00 PM,0,,,,
07 Jul 2012 01:00 PM,0,,,,
07 Jul 2012 02:00 PM,0,,,,
07 Jul 2012 03:00 PM,0,,,,
07 Jul 2012 04:00 PM,0,,,,
07 Jul 2012 05:00 PM,0,,,,
07 Jul 2012 06:00 PM,0,,,,
07 Jul 2012 07:00 PM,0,,,,
07 Jul 2012 08:00 PM,0,,,,
07 Jul 2012 09:00 PM,0,,,,
07 Jul 2012 10:00 PM,0,,,,
07 Jul 2012 11:00 PM,0,,,,
08 Jul 2012 12:00 AM,0,,,,
08 Jul 2012 01:00 AM,0,,,,
08 Jul 2012 02:00 AM,0,,,,
08 Jul 2012 03:00 AM,0,,,,
08 Jul 2012 04:00 AM,0,,,,
08 Jul 2012 05:00 AM,0,,,,
08 Jul 2012 06:00 AM,0,,,,
08 Jul 2012 07:00 AM,0,,,,
08 Jul 2012 08:00 AM,0,,,,
08 Jul 2012 09:00 AM,0,,,,
08 Jul 2012 10:00 AM,0,,,,
08 Jul 2012 11:00 AM,0,,,,
08 Jul 2012 12:00 PM,0,,,,
08 Jul 2012 01:00 PM,0,,,,
08 Jul 2012 02:00 PM,0,,,,
08 Jul 2012 03:00 PM,0,,,,
08 Jul 2012 04:00 PM,0,,,,
08 Jul 2012 05:00 PM,0,,,,
08 Jul 2012 06:00 PM,0,,,,
08 Jul 2012 07:00 PM,0,,,,
08 Jul 2012 08:00 PM,0,,,,
08 Jul 2012 09:00 PM,0,,,,
08 Jul 2012 10:00 PM,0,,,,
08 Jul 2012 11:00 PM,0,,,,
09 Jul 2012 12:00 AM,0,,,,
09 Jul 2012 01:00 AM,0,,,,
09 Jul 2012 02:00 AM,0,,,,
09 Jul 2012 03:00 AM,0,,,,
09 Jul 2012 04:00 AM,0,,,,
09 Jul 2012 05:00 AM,0,,,,
09 Jul 2012 06:00 AM,0,,,,
09 Jul 2012 07:00 AM,0,,,,
09 Jul 2012 08:00 AM,0,,,,
09 Jul 2012 09:00 AM,0,,,,
09 Jul 2012 10:00 AM,0,,,,
09 Jul 2012 11:00 AM,0,,,,
09 Jul 2012 12:00 PM,0,,,,
09 Jul 2012 01:00 PM,0,,,,
09 Jul 2012 02:00 PM,0,,,,
09 Jul 2012 03:00 PM,0,,,,
09 Jul 2012 04:00 PM,0,,,,
09 Jul 2012 05:00 PM,0,,,,
09 Jul 2012 06:00 PM,0,,,,
09 Jul 2012 07:00 PM,0,,,,
09 Jul 2012 08:00 PM,0,,,,
09 Jul 2012 09:00 PM,0,,,,
09 Jul 2012 10:00 PM,0,,,,
09 Jul 2012 11:00 PM,0,,,,
10 Jul 2012 12:00 AM,0,,,,
10 Jul 2012 01:00 AM,0,,,,
10 Jul 2012 02:00 AM,0,,,,
10 Jul 2012 03:00 AM,0,,,,
10 Jul 2012 04:00 AM,0,,,,
10 Jul 2012 05:00 AM,0,,,,
10 Jul 2012 06:00 AM,16,,,,
10 Jul 2012 07:00 AM,0,,,,
10 Jul 2012 08:00 AM,1,,,,
10 Jul 2012 09:00 AM,0,,,,
10 Jul 2012 10:00 AM,2,,,,
10 Jul 2012 11:00 AM,0,,,,
10 Jul 2012 12:00 PM,0,,,,
10 Jul 2012 01:00 PM,0,,,,
10 Jul 2012 02:00 PM,0,,,,
10 Jul 2012 03:00 PM,0,,,,
10 Jul 2012 04:00 PM,0,,,,
10 Jul 2012 05:00 PM,0,,,,
10 Jul 2012 06:00 PM,0,,,,
10 Jul 2012 07:00 PM,0,,,,
10 Jul 2012 08:00 PM,0,,,,
