"year" "month" "day" "downscaled.tmax.degC"
1950 8 22 32.86
1950 8 23 32.96
1950 8 24 32.96
1950 8 25 32.77
1950 8 26 33.66
1950 8 27 36.05
1950 8 28 37.33
1950 8 29 36.02
1950 8 30 34.27
1950 8 31 36.28
1950 9 1 37.85
1950 9 2 37.4
1950 9 3 37.98
1950 9 4 37.8
1950 9 5 36.35
1950 9 6 32.39
1950 9 7 32.72
1950 9 8 33.35
1950 9 9 33.25
1950 9 10 32.29
1950 9 11 31.99
1950 9 12 32.67
1950 9 13 32.66
1950 9 14 31.55
1950 9 15 31.03
1950 9 16 27.55
1950 9 17 21.62
1950 9 18 25.59
1950 9 19 30.03
1950 9 20 32.01
1950 9 21 31.81
1950 9 22 31.51
1950 9 23 29.81
1950 9 24 26.34
1950 9 25 23.26
1950 9 26 23.53
1950 9 27 28.11
1950 9 28 29.14
1950 9 29 28.56
1950 9 30 26.41
1950 10 1 31.04
1950 10 2 32.15
1950 10 3 29.94
1950 10 4 27.51
1950 10 5 30.37
1950 10 6 31.91
1950 10 7 31.27
1950 10 8 31.4
1950 10 9 28.45
1950 10 10 29.77
1950 10 11 31.91
1950 10 12 28.43
1950 10 13 21.82
1950 10 14 25.04
1950 10 15 26.82
1950 10 16 28.37
1950 10 17 28.53
1950 10 18 25.85
1950 10 19 28
1950 10 20 26.62
1950 10 21 24.69
1950 10 22 24.88
1950 10 23 25.24
1950 10 24 26.52
1950 10 25 25.92
1950 10 26 24.26
1950 10 27 20.86
1950 10 28 21.14
1950 10 29 23.75
1950 10 30 15.8
1950 10 31 14.9
1950 11 1 18.66
1950 11 2 14.85
1950 11 3 13.54
1950 11 4 16.03
1950 11 5 14.45
1950 11 6 15
1950 11 7 12.6
1950 11 8 9.38
1950 11 9 8.07
1950 11 10 14.32
1950 11 11 14.44
1950 11 12 17.09
1950 11 13 19.48
1950 11 14 22.03
1950 11 15 23.77
1950 11 16 25.07
1950 11 17 25.48
1950 11 18 25.13
1950 11 19 24.24
1950 11 20 18.48
1950 11 21 18.47
1950 11 22 22.8
1950 11 23 20.16
1950 11 24 15.99
1950 11 25 17.29
1950 11 26 15.48
1950 11 27 20.13
1950 11 28 21.51
1950 11 29 23.84
1950 11 30 19.61
1950 12 1 14.51
1950 12 2 19.52
1950 12 3 21.96
1950 12 4 18.55
1950 12 5 12.3
1950 12 6 14.25
1950 12 7 18.34
1950 12 8 17.33
1950 12 9 17.07
1950 12 10 15.87
1950 12 11 15.72
1950 12 12 17.19
1950 12 13 11.1
1950 12 14 9.53
1950 12 15 16
1950 12 16 18.39
1950 12 17 14.4
1950 12 18 11.31
1950 12 19 13.36
1950 12 20 14.24
1950 12 21 14.47
1950 12 22 16.3
1950 12 23 14.34
1950 12 24 15.99
1950 12 25 16.69
1950 12 26 20.04
1950 12 27 19.91
1950 12 28 14.41
1950 12 29 16.86
1950 12 30 17.69
1950 12 31 19.77
1951 1 1 18.88
1951 1 2 16.83
1951 1 3 20.85
1951 1 4 20.42
1951 1 5 20.52
1951 1 6 15.14
1951 1 7 19.06
1951 1 8 21.31
1951 1 9 19.58
1951 1 10 20.13
1951 1 11 22.38
1951 1 12 23.26
1951 1 13 19.75
1951 1 14 12.2
1951 1 15 13.51
1951 1 16 11.28
1951 1 17 9.38
1951 1 18 7.76
1951 1 19 4.9
1951 1 20 5.29
1951 1 21 9.43
1951 1 22 12.87
1951 1 23 13.72
1951 1 24 13.26
1951 1 25 7.8
1951 1 26 2.1
1951 1 27 10.23
1951 1 28 8.71
1951 1 29 3.97
1951 1 30 -0.18
1951 1 31 4.23
1951 2 1 4.41
1951 2 2 8.87
1951 2 3 14.02
1951 2 4 16.14
1951 2 5 16.79
1951 2 6 19.07
1951 2 7 15.77
1951 2 8 16.94
1951 2 9 18.72
1951 2 10 16.53
1951 2 11 12.77
1951 2 12 14.15
1951 2 13 11.77
1951 2 14 10.92
1951 2 15 17.3
1951 2 16 15.77
1951 2 17 20.22
1951 2 18 20.01
1951 2 19 16.72
1951 2 20 11.17
1951 2 21 21.56
1951 2 22 23.88
1951 2 23 23.27
1951 2 24 19.97
1951 2 25 14.3
1951 2 26 13.98
1951 2 27 21.02
1951 2 28 21.14
1951 3 1 19.13
1951 3 2 23
1951 3 3 22.84
1951 3 4 15.66
1951 3 5 15.65
1951 3 6 11.1
1951 3 7 0.71
1951 3 8 2.58
1951 3 9 7.05
1951 3 10 11.98
1951 3 11 19.94
1951 3 12 19.25
1951 3 13 23.1
1951 3 14 21.57
1951 3 15 21.74
1951 3 16 23.22
1951 3 17 24.71
1951 3 18 22.03
1951 3 19 21.63
1951 3 20 24.7
1951 3 21 24.72
1951 3 22 26.35
1951 3 23 28.88
1951 3 24 28.61
1951 3 25 27.61
1951 3 26 27.42
1951 3 27 26.16
1951 3 28 24.88
1951 3 29 21.25
1951 3 30 17.43
1951 3 31 22.65
1951 4 1 14.97
1951 4 2 17.33
1951 4 3 19.45
1951 4 4 23.08
1951 4 5 28.31
1951 4 6 23.86
1951 4 7 26.36
1951 4 8 24.58
1951 4 9 16.27
1951 4 10 14.8
1951 4 11 22.26
1951 4 12 28.65
1951 4 13 26.44
1951 4 14 16.48
1951 4 15 20.83
1951 4 16 23.46
1951 4 17 28.15
1951 4 18 24.54
1951 4 19 23.46
1951 4 20 26.09
1951 4 21 21.58
1951 4 22 22.6
1951 4 23 28.68
1951 4 24 25.4
1951 4 25 26.38
1951 4 26 27.94
1951 4 27 28.67
1951 4 28 25.4
1951 4 29 22.98
1951 4 30 25.73
1951 5 1 29.12
1951 5 2 29.72
1951 5 3 26.6
1951 5 4 23.53
1951 5 5 19.3
1951 5 6 26.07
1951 5 7 29.18
1951 5 8 26.66
1951 5 9 28.49
1951 5 10 29
1951 5 11 30.78
1951 5 12 30.78
1951 5 13 31.04
1951 5 14 31.58
1951 5 15 28.98
1951 5 16 28.24
1951 5 17 28.11
1951 5 18 30.08
1951 5 19 30.87
1951 5 20 31.94
1951 5 21 31.57
1951 5 22 31.2
1951 5 23 32.81
1951 5 24 35.09
1951 5 25 34.77
1951 5 26 35.27
1951 5 27 35.07
1951 5 28 35.07
1951 5 29 34.78
1951 5 30 34.95
1951 5 31 36.03
1951 6 1 35.05
1951 6 2 34.12
1951 6 3 33.83
1951 6 4 30.91
1951 6 5 30.21
1951 6 6 34.19
1951 6 7 36.7
1951 6 8 35.24
1951 6 9 34.14
1951 6 10 32.12
1951 6 11 33.1
1951 6 12 33.76
1951 6 13 34.01
1951 6 14 34.13
1951 6 15 35.35
1951 6 16 38.16
1951 6 17 38.05
1951 6 18 35.36
1951 6 19 34.9
1951 6 20 35.16
1951 6 21 35.39
1951 6 22 36.78
1951 6 23 38.3
1951 6 24 38.64
1951 6 25 38.08
1951 6 26 34.63
1951 6 27 30.76
1951 6 28 32.24
1951 6 29 34.12
1951 6 30 34.38
1951 7 1 33.34
1951 7 2 33.79
1951 7 3 33.74
1951 7 4 34.69
1951 7 5 34.77
1951 7 6 35.73
1951 7 7 36.65
1951 7 8 36.73
1951 7 9 33.15
1951 7 10 30.56
1951 7 11 29.26
1951 7 12 31.11
1951 7 13 29.65
1951 7 14 27.79
1951 7 15 32.01
1951 7 16 33.57
1951 7 17 34.55
1951 7 18 35.19
1951 7 19 35.02
1951 7 20 35.2
1951 7 21 34.05
1951 7 22 35.25
1951 7 23 36.9
1951 7 24 37.17
1951 7 25 37.09
1951 7 26 36.17
1951 7 27 34.85
1951 7 28 34.8
1951 7 29 36.85
1951 7 30 39.7
1951 7 31 37.99
1951 8 1 37.19
1951 8 2 36.81
1951 8 3 36.29
1951 8 4 35.79
1951 8 5 36.39
1951 8 6 33.97
1951 8 7 33.02
1951 8 8 33.86
1951 8 9 35.67
1951 8 10 35.72
1951 8 11 34.18
1951 8 12 34.95
1951 8 13 33.2
1951 8 14 33.07
1951 8 15 35.69
1951 8 16 37.89
1951 8 17 36.97
1951 8 18 35.06
1951 8 19 35.4
1951 8 20 36.85
1951 8 21 37.38
1951 8 22 36.83
1951 8 23 37.06
1951 8 24 36.52
1951 8 25 35.94
1951 8 26 33.79
1951 8 27 33.81
1951 8 28 32.75
1951 8 29 35.81
1951 8 30 35.02
1951 8 31 32.98
1951 9 1 32.25
1951 9 2 31.85
1951 9 3 33.02
1951 9 4 33.12
1951 9 5 33.16
1951 9 6 32.8
1951 9 7 33.63
1951 9 8 32.51
1951 9 9 30.36
1951 9 10 31.76
1951 9 11 34.18
1951 9 12 33.37
1951 9 13 34.53
1951 9 14 35.48
1951 9 15 35.24
1951 9 16 35.06
1951 9 17 29.7
1951 9 18 24.84
1951 9 19 28.53
1951 9 20 27.8
1951 9 21 28.68
1951 9 22 29.9
1951 9 23 30.43
1951 9 24 31.62
1951 9 25 31.46
1951 9 26 31.44
1951 9 27 32.26
1951 9 28 29.91
1951 9 29 24.38
1951 9 30 28.93
1951 10 1 29.56
1951 10 2 30.51
1951 10 3 29.29
1951 10 4 20.06
1951 10 5 19.04
1951 10 6 25.45
1951 10 7 27.59
1951 10 8 23.68
1951 10 9 25.04
1951 10 10 26.91
1951 10 11 26.13
1951 10 12 26.72
1951 10 13 27.87
1951 10 14 27.67
1951 10 15 25.8
1951 10 16 23.65
1951 10 17 20.88
1951 10 18 25.18
1951 10 19 26.56
1951 10 20 26.89
1951 10 21 26.91
1951 10 22 25.23
1951 10 23 26.14
1951 10 24 26.42
1951 10 25 27.62
1951 10 26 21.77
1951 10 27 18.91
1951 10 28 22.16
1951 10 29 23.84
1951 10 30 24.24
1951 10 31 23.54
1951 11 1 21.75
1951 11 2 23.28
1951 11 3 23.67
1951 11 4 22.25
1951 11 5 21.71
1951 11 6 23.46
1951 11 7 23.79
1951 11 8 24.15
1951 11 9 25.39
1951 11 10 22.69
1951 11 11 23.81
1951 11 12 26.15
1951 11 13 26.44
1951 11 14 27.03
1951 11 15 23.41
1951 11 16 22.73
1951 11 17 24.62
1951 11 18 25.89
1951 11 19 26.46
1951 11 20 25.88
1951 11 21 23.69
1951 11 22 23.15
1951 11 23 23.72
1951 11 24 20.28
1951 11 25 26.19
1951 11 26 27.1
1951 11 27 26.48
1951 11 28 27.07
1951 11 29 27.29
1951 11 30 25.96
1951 12 1 22.25
1951 12 2 19.11
1951 12 3 11.82
1951 12 4 10.21
1951 12 5 14.11
1951 12 6 16.26
1951 12 7 20.91
1951 12 8 22.3
1951 12 9 22.3
1951 12 10 22.14
1951 12 11 22.31
1951 12 12 22.76
1951 12 13 22.49
1951 12 14 17.09
1951 12 15 10.58
1951 12 16 14.65
1951 12 17 18.56
1951 12 18 22.39
1951 12 19 22.58
1951 12 20 20.57
1951 12 21 19.35
1951 12 22 17.58
1951 12 23 13.76
1951 12 24 11.38
1951 12 25 13.38
1951 12 26 12.76
1951 12 27 18.58
1951 12 28 18.55
1951 12 29 12.96
1951 12 30 15.85
1951 12 31 15.81
1952 1 1 20.11
1952 1 2 20.42
1952 1 3 20.03
1952 1 4 22.61
1952 1 5 20.2
1952 1 6 23.34
1952 1 7 22.75
1952 1 8 22.98
1952 1 9 24.15
1952 1 10 23.67
1952 1 11 19.83
1952 1 12 22.26
1952 1 13 23.67
1952 1 14 25.37
1952 1 15 23.28
1952 1 16 20.47
1952 1 17 22.03
1952 1 18 20.9
1952 1 19 24.15
1952 1 20 23.61
1952 1 21 24.24
1952 1 22 20.44
1952 1 23 19.98
1952 1 24 20.39
1952 1 25 21.52
1952 1 26 22.83
1952 1 27 20.32
1952 1 28 17.07
1952 1 29 21.3
1952 1 30 17.34
1952 1 31 17.47
1952 2 1 18.54
1952 2 2 16.24
1952 2 3 11.21
1952 2 4 15.01
1952 2 5 17.3
1952 2 6 17.21
1952 2 7 21.29
1952 2 8 17.65
1952 2 9 9.17
1952 2 10 13.33
1952 2 11 17.27
1952 2 12 21.12
1952 2 13 22.64
1952 2 14 23.73
1952 2 15 23.49
1952 2 16 22.55
1952 2 17 23.44
1952 2 18 24.55
1952 2 19 24.66
1952 2 20 25.24
1952 2 21 25.41
1952 2 22 27.59
1952 2 23 27.5
1952 2 24 28.64
1952 2 25 29.33
1952 2 26 28.52
1952 2 27 29.59
1952 2 28 30.8
1952 3 1 29.32
1952 3 2 26.99
1952 3 3 28.06
1952 3 4 28.28
1952 3 5 27.53
1952 3 6 23.93
1952 3 7 23.5
1952 3 8 24.89
1952 3 9 26.6
1952 3 10 26.81
1952 3 11 28.26
1952 3 12 28.84
1952 3 13 30.3
1952 3 14 32.53
1952 3 15 29.82
1952 3 16 29.09
1952 3 17 26.15
1952 3 18 27.54
1952 3 19 29.25
1952 3 20 31.5
1952 3 21 28.95
1952 3 22 26.58
1952 3 23 24.69
1952 3 24 25.48
1952 3 25 25.22
1952 3 26 22.92
1952 3 27 25.39
1952 3 28 28.16
1952 3 29 29.16
1952 3 30 28.55
1952 3 31 29.63
1952 4 1 25.57
1952 4 2 23.03
1952 4 3 29.24
1952 4 4 30.08
1952 4 5 27.98
1952 4 6 22.49
1952 4 7 18.51
1952 4 8 14.84
1952 4 9 22.81
1952 4 10 28.71
1952 4 11 29.64
1952 4 12 27.32
1952 4 13 20.81
1952 4 14 19.75
1952 4 15 25.57
1952 4 16 30.21
1952 4 17 29.4
1952 4 18 31.06
1952 4 19 29.7
1952 4 20 28.95
1952 4 21 29.23
1952 4 22 29.86
1952 4 23 27.57
1952 4 24 23.42
1952 4 25 26.33
1952 4 26 31.45
1952 4 27 34.59
1952 4 28 34.38
1952 4 29 32.8
1952 4 30 35.07
1952 5 1 33.93
1952 5 2 29.01
1952 5 3 23.77
1952 5 4 27.02
1952 5 5 27.47
1952 5 6 30.76
1952 5 7 33.21
1952 5 8 35.13
1952 5 9 36.12
1952 5 10 35.95
1952 5 11 35.13
1952 5 12 33.77
1952 5 13 31.42
1952 5 14 30.42
1952 5 15 33.4
1952 5 16 34.76
1952 5 17 35.31
1952 5 18 31.29
1952 5 19 30.35
1952 5 20 31.6
1952 5 21 33.71
1952 5 22 32.69
1952 5 23 34.09
1952 5 24 33.16
1952 5 25 32.94
1952 5 26 32.45
1952 5 27 31.53
1952 5 28 31.65
1952 5 29 32.5
1952 5 30 30.94
1952 5 31 31.68
1952 6 1 27
1952 6 2 20.24
1952 6 3 20.04
1952 6 4 25
1952 6 5 27.86
1952 6 6 29.53
1952 6 7 28.65
1952 6 8 30.05
1952 6 9 32.8
1952 6 10 33.69
1952 6 11 30.92
1952 6 12 27.7
1952 6 13 32.94
1952 6 14 32.7
1952 6 15 29.85
1952 6 16 28.39
1952 6 17 31.54
1952 6 18 32.75
1952 6 19 33.4
1952 6 20 33.52
1952 6 21 33.28
1952 6 22 33.11
1952 6 23 34.89
1952 6 24 35.11
1952 6 25 33.66
1952 6 26 34.09
1952 6 27 35.07
1952 6 28 36.07
1952 6 29 36.86
1952 6 30 36.08
1952 7 1 34.42
1952 7 2 33.86
1952 7 3 32.41
1952 7 4 34.39
1952 7 5 33.54
1952 7 6 34.52
1952 7 7 35.12
1952 7 8 34.22
1952 7 9 34.07
1952 7 10 34.8
1952 7 11 35.41
1952 7 12 37.42
1952 7 13 37.11
1952 7 14 34.41
1952 7 15 33.93
1952 7 16 36.25
1952 7 17 39.5
1952 7 18 39.41
1952 7 19 36.92
1952 7 20 37.13
1952 7 21 37.89
1952 7 22 38.12
1952 7 23 38.27
1952 7 24 37.8
1952 7 25 37.72
1952 7 26 36.97
1952 7 27 36.8
1952 7 28 35.41
1952 7 29 34.72
1952 7 30 35.03
1952 7 31 36.52
1952 8 1 38.45
1952 8 2 38.69
1952 8 3 39.53
1952 8 4 37.81
1952 8 5 36.83
1952 8 6 36.78
1952 8 7 33.98
1952 8 8 33.61
1952 8 9 35.46
1952 8 10 35.77
1952 8 11 32.59
1952 8 12 31.45
1952 8 13 31.36
1952 8 14 30.35
1952 8 15 28.92
1952 8 16 27.7
1952 8 17 27.06
1952 8 18 30.3
1952 8 19 31.43
1952 8 20 32.31
1952 8 21 33.77
1952 8 22 31.53
1952 8 23 28.03
1952 8 24 25.42
1952 8 25 23.36
1952 8 26 27.39
1952 8 27 28.76
1952 8 28 29.97
1952 8 29 29.54
1952 8 30 27.43
1952 8 31 27.4
1952 9 1 31.21
1952 9 2 32.2
1952 9 3 32.56
1952 9 4 32.95
1952 9 5 34.06
1952 9 6 32.2
1952 9 7 31.14
1952 9 8 31.15
1952 9 9 31
1952 9 10 31.43
1952 9 11 32.11
1952 9 12 31.79
1952 9 13 31.03
1952 9 14 31.33
1952 9 15 32.01
1952 9 16 31.85
1952 9 17 31.75
1952 9 18 32.01
1952 9 19 33.88
1952 9 20 35.31
1952 9 21 32.02
1952 9 22 24.92
1952 9 23 14.71
1952 9 24 6.82
1952 9 25 8.17
1952 9 26 13.4
1952 9 27 13.63
1952 9 28 14.13
1952 9 29 14.63
1952 9 30 15.94
1952 10 1 23.09
1952 10 2 24.66
1952 10 3 25.82
1952 10 4 25.79
1952 10 5 25.18
1952 10 6 24.86
1952 10 7 24.34
1952 10 8 24.96
1952 10 9 25.52
1952 10 10 25.14
1952 10 11 25.23
1952 10 12 25.37
1952 10 13 23.74
1952 10 14 14.11
1952 10 15 12.35
1952 10 16 14.47
1952 10 17 20.89
1952 10 18 22.13
1952 10 19 21.76
1952 10 20 22.9
1952 10 21 23.62
1952 10 22 24.52
1952 10 23 22.91
1952 10 24 21.33
1952 10 25 21.19
1952 10 26 22.37
1952 10 27 19.13
1952 10 28 15.34
1952 10 29 17.7
1952 10 30 21.16
1952 10 31 15.81
1952 11 1 15.05
1952 11 2 9.18
1952 11 3 10.79
1952 11 4 15.9
1952 11 5 18.07
1952 11 6 20.3
1952 11 7 20.36
1952 11 8 23.43
1952 11 9 23.4
1952 11 10 20.89
1952 11 11 19.63
1952 11 12 17.86
1952 11 13 20.58
1952 11 14 20.11
1952 11 15 19.83
1952 11 16 17.92
1952 11 17 15.39
1952 11 18 9.91
1952 11 19 10.38
1952 11 20 8.62
1952 11 21 16.64
1952 11 22 19.15
1952 11 23 15.73
1952 11 24 12.39
1952 11 25 16.07
1952 11 26 19.43
1952 11 27 22.62
1952 11 28 23.46
1952 11 29 23.22
1952 11 30 22.06
1952 12 1 24.33
1952 12 2 18.46
1952 12 3 14.59
1952 12 4 14.81
1952 12 5 14.01
1952 12 6 14.21
1952 12 7 15.47
1952 12 8 14.05
1952 12 9 15.79
1952 12 10 19.76
1952 12 11 16.7
1952 12 12 17.94
1952 12 13 19.18
1952 12 14 19.58
1952 12 15 22.14
1952 12 16 22.17
1952 12 17 16.21
1952 12 18 15.25
1952 12 19 17.2
1952 12 20 17.66
1952 12 21 20.51
1952 12 22 20.16
1952 12 23 18.6
1952 12 24 18.62
1952 12 25 14.44
1952 12 26 12.64
1952 12 27 13.97
1952 12 28 15.66
1952 12 29 17.16
1952 12 30 17.96
1952 12 31 10.37
1953 1 1 9.99
1953 1 2 12.5
1953 1 3 18.51
1953 1 4 21.99
1953 1 5 22.03
1953 1 6 19.28
1953 1 7 19.83
1953 1 8 22.16
1953 1 9 22.83
1953 1 10 22.32
1953 1 11 19.4
1953 1 12 18.81
1953 1 13 16.63
1953 1 14 16.51
1953 1 15 15.8
1953 1 16 17.19
1953 1 17 22.13
1953 1 18 23.29
1953 1 19 19.37
1953 1 20 11.47
1953 1 21 12.46
1953 1 22 15.64
1953 1 23 15.27
1953 1 24 15.73
1953 1 25 13.44
1953 1 26 14.48
1953 1 27 18.99
1953 1 28 20.61
1953 1 29 23.11
1953 1 30 23.59
1953 1 31 23.73
1953 2 1 25.3
1953 2 2 24.87
1953 2 3 28.21
1953 2 4 25.21
1953 2 5 22.56
1953 2 6 21.01
1953 2 7 18.69
1953 2 8 14.74
1953 2 9 14.52
1953 2 10 19.11
1953 2 11 21.94
1953 2 12 16.73
1953 2 13 16.77
1953 2 14 18.8
1953 2 15 21.59
1953 2 16 19.8
1953 2 17 16.81
1953 2 18 21.56
1953 2 19 22.33
1953 2 20 15.48
1953 2 21 19.64
1953 2 22 21.02
1953 2 23 18.45
1953 2 24 17.9
1953 2 25 19.78
1953 2 26 22.6
1953 2 27 24.04
1953 2 28 25.48
1953 3 1 18.51
1953 3 2 16.24
1953 3 3 13.23
1953 3 4 8.24
1953 3 5 12.7
1953 3 6 19.18
1953 3 7 18.05
1953 3 8 20.58
1953 3 9 25.1
1953 3 10 19.77
1953 3 11 20.45
1953 3 12 25.26
1953 3 13 28.12
1953 3 14 28.69
1953 3 15 25.87
1953 3 16 21.22
1953 3 17 14.45
1953 3 18 16.18
1953 3 19 19.97
1953 3 20 22.05
1953 3 21 25.19
1953 3 22 26.56
1953 3 23 27.09
1953 3 24 27.71
1953 3 25 29.51
1953 3 26 30.81
1953 3 27 31.08
1953 3 28 30.92
1953 3 29 32.09
1953 3 30 32.75
1953 3 31 32.2
1953 4 1 29.42
1953 4 2 18.4
1953 4 3 18.27
1953 4 4 21.69
1953 4 5 25.55
1953 4 6 28.26
1953 4 7 31.3
1953 4 8 33.61
1953 4 9 34.3
1953 4 10 32.32
1953 4 11 28.44
1953 4 12 30.51
1953 4 13 31.26
1953 4 14 27.85
1953 4 15 20.9
1953 4 16 27
1953 4 17 28.99
1953 4 18 29.81
1953 4 19 34.45
1953 4 20 36.46
1953 4 21 34.71
1953 4 22 35.91
1953 4 23 34.96
1953 4 24 28
1953 4 25 13.3
1953 4 26 16.15
1953 4 27 26.66
1953 4 28 32.1
1953 4 29 33.31
1953 4 30 33.14
1953 5 1 30.9
1953 5 2 28.92
1953 5 3 30.86
1953 5 4 31.78
1953 5 5 29.7
1953 5 6 28.15
1953 5 7 29.38
1953 5 8 30.17
1953 5 9 30.62
1953 5 10 30.44
1953 5 11 30.75
1953 5 12 32.07
1953 5 13 33.02
1953 5 14 31.92
1953 5 15 31.36
1953 5 16 26.4
1953 5 17 19.6
1953 5 18 21.39
1953 5 19 28.94
1953 5 20 30.89
1953 5 21 33.06
1953 5 22 33.24
1953 5 23 32.84
1953 5 24 32.88
1953 5 25 31.59
1953 5 26 31.09
1953 5 27 31.75
1953 5 28 32.76
1953 5 29 28.11
1953 5 30 28.86
1953 5 31 33.4
1953 6 1 33.3
1953 6 2 33.97
1953 6 3 33.06
1953 6 4 33
1953 6 5 33.34
1953 6 6 33.03
1953 6 7 34.42
1953 6 8 34.11
1953 6 9 33.72
1953 6 10 33.72
1953 6 11 34.81
1953 6 12 34.98
1953 6 13 35.64
1953 6 14 35.01
1953 6 15 35.34
1953 6 16 36.22
1953 6 17 37.46
1953 6 18 37.27
1953 6 19 35.84
1953 6 20 37.47
1953 6 21 39.93
1953 6 22 41
1953 6 23 41.04
1953 6 24 39.77
1953 6 25 37.66
